
Pinging 2a00:1c98:1000:11c4:0:2:9e81:f562 with 64 bytes of data:
Request timed out.
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Request timed out.
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=263ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=263ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=263ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=263ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=263ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=262ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=263ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=263ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=265ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=260ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=260ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=261ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=264ms 
Reply from 2a00:1c98:1000:11c4:0:2:9e81:f562: time=260ms 

Ping statistics for 2a00:1c98:1000:11c4:0:2:9e81:f562:
    Packets: Sent = 100, Received = 97, Lost = 3 (3% loss),
Approximate round trip times in milli-seconds:
    Minimum = 260ms, Maximum = 265ms, Average = 262ms
